Book,Chapter_verse,Content
창세기,1장 1절,천지 창조 태초 하나님 천지 창조
창세기,1장 2절,혼돈 공허하다 흑암 깊다 하나님 영은 수면 운행
창세기,1장 3절,하나님
창세기,1장 4절,하나님 좋다 하나님 빛과 어둠 나누다
창세기,1장 5절,하나님 부르다 어둠 부르다 저녁 아침 첫째 날다
창세기,1장 6절,하나님 가운데 궁창 나뉘다
창세기,1장 7절,하나님 궁창 만드사 궁창 궁창 나뉘다
창세기,1장 8절,하나님 궁창 하늘 부르다 저녁 아침 둘째 날다
창세기,1장 9절,하나님 천하 물이 모이 드러나다
창세기,1장 10절,하나님 부르다 모이다 바다 부르다 하나님 좋다
창세기,1장 11절,하나님 맺다 채소 각기 종류 가지다 열매 맺다 나무 되어다
창세기,1장 12절,각기 종류 맺다 채소 각기 종류 가지다 열매 맺다 나무 내다 하나님 좋다
창세기,1장 13절,저녁 아침 날다
창세기,1장 14절,하나님 하늘 궁창 광명체 나뉘다 징조 계절 이루다 하라
창세기,1장 15절,광명체 하늘 궁창 비추다
창세기,1장 16절,하나님 크다 광명체 만드사 크다 광명체 주관 작다 광명체 주관 만들다
창세기,1장 17절,하나님 하늘 궁창 두다 비추다
창세기,1장 18절,주관 빛과 어둠 나뉘다 하나님 좋다
창세기,1장 19절,저녁 아침 넷째 날다
창세기,1장 20절,하나님 물들다 생물 번성 하라 하늘 궁창 날다
창세기,1장 21절,하나님 크다 바다 짐승 번성 움직이다 모든 생물 종류 날개 모든 종류 창조 하나님 좋다
창세기,1장 22절,하나님 주시 생육 번성 여러 바닷물 충만 번성
창세기,1장 23절,저녁 아침 날다
창세기,1장 24절,하나님 생물 종류 내다 가축 기다 짐승 종류
창세기,1장 25절,하나님 짐승 종류 가축 종류 기다 모든 종류 만들다 하나님 좋다
창세기,1장 26절,하나님 형상 따르다 모양 만들다 바다 물고기 하늘 가축 기다 모든 다스리다 하자
창세기,1장 27절,하나님 형상 하나님 형상 창조 남자 여자 창조
창세기,1장 28절,하나님 주시 하나님 생육 번성 충만 정복 바다 물고기 하늘 움직이다 모든 생물 다스리다
창세기,1장 29절,하나님 지면 맺다 모든 채소 가지다 열매 맺다 모든 나무 주노 먹다 거리
창세기,1장 30절,모든 짐승 하늘 모든 생명 기다 모든 모든 푸른 먹다 거리 주노
창세기,1장 31절,하나님 지다 모든 심하다 좋다 저녁 아침 날다
창세기,2장 1절,천지 만물 이루어지다
창세기,2장 2절,하나님 마치다 모든 안식
창세기,2장 3절,하나님 복되다 하사 거룩하다 하나님 창조 만들다 모든 마치다 안식
창세기,2장 4절,에덴 동산 천지 창조 하늘 내력 여호와 하나님 하늘 만들다
창세기,2장 5절,여호와 하나님 리지 갈다 들다 초목 채소 나다
창세기,2장 6절,안개 올라오다 지면 적다
창세기,2장 7절,여호와 하나님 지다 생기 불어 넣다 생령
창세기,2장 8절,여호와 하나님 동방 에덴 동산 창설 지다 거기 두다
창세기,2장 9절,여호와 하나님 아름답다 먹기 좋다 나무 나다 동산 가운데 생명 나무 선악 나무
창세기,2장 10절,에덴 흐르다 나오다 동산 적다 거기 갈라지다 근원 되어다
창세기,2장 11절,첫째 이름 비손 하윌 두르다
창세기,2장 12절,금은 순금 베델리엄 호마 노도
창세기,2장 13절,둘째 강의 이름 기혼 구스 두르다
창세기,2장 14절,강의 이름 힛데겔 수르 동쪽 흐르다 넷째 브라 데더
창세기,2장 15절,여호와 하나님 이끌다 에덴 동산 두다 경작 지키다
창세기,2장 16절,여호와 하나님 동산 나무 열매 임의 먹다
창세기,2장 17절,선악 나무 열매 먹다 말르다 먹다 죽다
창세기,2장 18절,여호와 하나님 살다 좋다 돕다 배필 지다
창세기,2장 19절,여호와 하나님 들다 짐승 공중 지다 아담 부르다 이끌다 가시다 아담 생물 부르다 이름 되어다
창세기,2장 20절,아담 모든 가축 공중 들다 모든 짐승 이름 주니 아담 돕다 배필
창세기,2장 21절,여호와 하나님 아담 깊이 잠들다 잠들다 갈빗대 취하 살로 대신 채우다
창세기,2장 22절,여호와 하나님 아담 취하 갈빗대 여자 만들다 아담 이끌다 오시
창세기,2장 23절,아담 살이 남자 취하 여자 부르다 하니
창세기,2장 24절,남자 부모 떠나다 아내 이루다
창세기,2장 25절,아담 아내 벌겋다 벗다 부끄럽다
창세기,3장 1절,불순종 하나님 심판 선언 여호와 하나님 지다 들다 짐승 간교 여자 물어 하나님 참으로 동산 모든 나무 열매 먹다 말르다
창세기,3장 2절,여자 말다 동산 나무 열매 먹다
창세기,3장 3절,동산 중앙 나무 열매 하나님 말씀 먹다 지지도 말르다 죽다 하노
창세기,3장 4절,여자 결코 죽지
창세기,3장 5절,먹다 밝아지다 하나님 되어다 선악 하나님 아심
창세기,3장 6절,여자 나무 먹음 직도 직도 지혜롭 스럽다 기도 나무 인지 여자 열매 따먹다 남편 주다 먹다
창세기,3장 7절,밝아지다 벗다 무화과나무 엮어 치마 삼다
창세기,3장 8절,바람 동산 니시 여호와 하나님 소리 듣다 아담 아내 여호와 하나님 피하 동산 나무 사이 숨다
창세기,3장 9절,여호와 하나님 아담 부르다
창세기,3장 10절,동산 하나님 소리 듣다 벗다 두렵다 숨다
창세기,3장 11절,벗다 알리다 먹다 말르다 나무 열매 먹다
창세기,3장 12절,아담 하나님 주다 나오다 여자 나무 열매 내다 주다 먹다
창세기,3장 13절,여호와 하나님 여자 여자 나르다 꾀다 먹다
창세기,3장 14절,여호와 하나님 모든 가축 들다 모든 짐승 더욱 저주 받다 다니다 먹다
창세기,3장 15절,여자 원수 후손 여자 후손 원수 하리 여자 후손 머리 상하 발꿈치 상하
창세기,3장 16절,여자 임신 고통 크게 더하다 수고 자식 낳을 남편 원하다 남편 다스리다
창세기,3장 17절,아담 아내 듣다 먹다 말르다 나무 열매 먹다 저주 받다 평생 수고 소산 먹다
창세기,3장 18절,가시 덤불 엉겅퀴 먹다 채소
창세기,3장 19절,돌아가다 얼굴 흘리다 먹다 먹다 취함 입다 돌아가다
창세기,3장 20절,아담 아내 이름 하와 부르다 모든 자의 어머니
창세기,3장 21절,여호와 하나님 아담 아내 가죽 지다 입히다
창세기,3장 22절,아담 하와 쫓아내다 여호와 하나님 보라 선악 알다 되어다 들다 생명 나무 열매 따먹다 영생 하노
창세기,3장 23절,여호와 하나님 에덴 동산 내보내다 근원 갈다
창세기,3장 24절,하나님 쫓아내다 에덴 동산 동쪽 그룹 두루 두다 생명 나무 지키다
창세기,4장 1절,가인 아벨 아담 아내 하와 침하 하와 임신 가인 낳다 여호와 득남 하니
창세기,4장 2절,가인 아우 아벨 낳다 아벨 치다 자다 가인 농사 자다
창세기,4장 3절,세월 지난 가인 소산 제물 삼다 여호와 드리다
창세기,4장 4절,아벨 새끼 기름 드리다 여호와 아벨 제물 받다
창세기,4장 5절,가인 제물 받다 신지 가인 몹시 분하다 안색 변하다
창세기,4장 6절,여호와 가인 분하다 안색 변하다
창세기,4장 7절,들다 엎드리다 다스리다
창세기,4장 8절,가인 아우 아벨 들다 가인 아우 아벨 치다 죽이다
창세기,4장 9절,여호와 가인 아우 아벨 아우르다 지키다 자다
창세기,4장 10절,아우 핏소리 내다 호소
창세기,4장 11절,벌리다 아우 받다 저주 받다
창세기,4장 12절,갈다 다시다 효력 주지 피하 유리하다 자가
창세기,4장 13절,가인 여호와 아뢰다 죄짐 지기 무겁다
창세기,4장 14절,오늘 지면 나르다 쫓아내다 주의 뵈다 하리 피하 유리하다 자가 무릇 나르다 만나다 나르다 죽이다
창세기,4장 15절,여호와 가인 죽이다 자다 받다 가인 주사 만나다 모든 죽이다
창세기,4장 16절,가인 자손 가인 여호와 떠나다 에덴 동쪽 거주
창세기,4장 17절,아내 침하 임신 에녹 낳다 가인 쌓다 아들 이름 이름 에녹 하니
창세기,4장 18절,에녹 이랏 낳다 이랏 므후야엘 낳다 므후야엘 므드사엘 낳다 므드사엘 라멕 낳다
창세기,4장 19절,라멕 아내 맞이 이름 이름
창세기,4장 20절,달다 낳다 장막 거주 가축 치다 자의 조상 되어다
창세기,4장 21절,아우 이름 유발 수금 퉁소 잡다 모든 자의 조상 되어다
창세기,4장 22절,두발 가인 낳다 구리 여러 가지 기구 만들다 두발 가인 나다
창세기,4장 23절,라멕 아내 오다 씰라 목소리 들다 라멕 아내 들다 상처 죽이다 상함 소년 죽이다
창세기,4장 24절,가인 벌이 일진 라멕 벌이 칠십칠 배다
창세기,4장 25절,노스 아담 아내 침하 아들 낳다 이름 하나님 내다 가인 죽이다 아벨 대신 주다
창세기,4장 26절,아들 낳다 이름 노스 여호와 이름 부르다
창세기,5장 1절,아담 계보 아담 계보 적다 하나님 창조 하나님 모양 지다
창세기,5장 2절,남자 여자 창조 창조 하나님 주시 이름 일컬으셨더
창세기,5장 3절,아담 백삼십 모양 형상 아들 낳다 이름
창세기,5장 4절,아담 낳다 팔백 지내다 자녀 낳다
창세기,5장 5절,구백삼십 죽다
창세기,5장 6절,백오 노스 낳다
창세기,5장 7절,노스 낳다 팔백칠 지내다 자녀 낳다
창세기,5장 8절,구백십이 죽다
창세기,5장 9절,노스 게난 낳다
창세기,5장 10절,게난 낳다 팔백십오 지내다 자녀 낳다
창세기,5장 11절,구백오 죽다
창세기,5장 12절,칠십 마할랄렐 낳다
창세기,5장 13절,마할랄렐 낳다 팔백사십 지내다 자녀 낳다
창세기,5장 14절,구백십 죽다
창세기,5장 15절,마할랄렐 육십오 야렛 낳다
창세기,5장 16절,야렛 낳다 팔백삼십 지내다 자녀 낳다
창세기,5장 17절,팔백구십오 죽다
창세기,5장 18절,야렛 백육십이 에녹 낳다
창세기,5장 19절,에녹 낳다 팔백 지내다 자녀 낳다
창세기,5장 20절,구백육십이 죽다
창세기,5장 21절,에녹 육십오 므두셀라 낳다
창세기,5장 22절,므두셀라 낳다 삼백 하나님 동행 자녀 낳다
창세기,5장 23절,삼백육십오 살다
창세기,5장 24절,에녹 하나님 동행 하나님 데려가다 세상
창세기,5장 25절,므두셀라 백팔십칠 라멕 낳다
창세기,5장 26절,라멕 낳다 칠백팔십이 지내다 자녀 낳다
창세기,5장 27절,구백육십구 죽다
창세기,5장 28절,라멕 백팔십이 아들 낳다
창세기,5장 29절,이름 노아 여호와 저주 아들 안위 하리
창세기,5장 30절,라멕 노아 낳다 오백구십오 지내다 자녀 낳다
창세기,5장 31절,칠백칠십칠 죽다
창세기,5장 32절,노아 오백 야벳 낳다
창세기,6장 1절,죄악 번성 시작 나니
창세기,6장 2절,하나님 아들 아름답다 좋아하다 모든 여자 아내 사다
창세기,6장 3절,여호와 영원하다 사람과 육신 백이십
창세기,6장 4절,당시 네피림 하나님 아들 들어오다 자식 낳다 사라 고대 명성 들이다
창세기,6장 5절,여호와 죄악 세상 가득하다 마음 모든 계획 항상 악하다
창세기,6장 6절,지다 한탄 하사 마음 근심
창세기,6장 7절,창조 지면 쓸다 버리다 가축 기다 공중 그리다 지다 한탄
창세기,6장 8절,노아 여호와 은혜 입다
창세기,6장 9절,노아 족보 노아 족보 노아 의인 당대 완전하다 자라 하나님 동행
창세기,6장 10절,아들 낳다 야벳
창세기,6장 11절,하나님 부패하다 포악하다 가득하다
창세기,6장 12절,하나님 보신 부패하다 모든 혈육 자의 행위 부패하다
창세기,6장 13절,하나님 노아 모든 혈육 자의 포악하다 가득하다 이르렀으 멸하리
창세기,6장 14절,고페르 나무 방주 만들다 막다 역청 안팎 하라
창세기,6장 15절,만들다 주다 이러하다 길이 삼백 규빗 너비 오십 규빗 높이다 삼십 규빗
창세기,6장 16절,거기 내다 규빗 내다 내다
창세기,6장 17절,홍수 일으키다 무릇 생명 기운 모든 육체 천하 멸절 하리 죽다
창세기,6장 18절,언약 세우다 아들 아내 며느리 주로 들어가다
창세기,6장 19절,혈육 모든 생물 각기 암수 주로 이끌다 들이다 생명 보존
창세기,6장 20절,종류 가축 종류 기다 모든 종류 각기 게로 나다 생명 보존 하라
창세기,6장 21절,먹다 모든 양식 게로 가다 축하 먹다
창세기,6장 22절,노아 하나님 준행
창세기,7장 1절,홍수 여호와 노아 집다 주로 들어가다 세대 로움
창세기,7장 2절,모든 정결 짐승 암수 부정 암수 게로 데려오다
창세기,7장 3절,공중 새다 암수 데려오다 지면 유전 하라
창세기,7장 4절,사다 주야 내다 지은 모든 생물 지면 쓸다 버리다
창세기,7장 5절,노아 여호와 준행
창세기,7장 6절,홍수 노아 육백 세라
창세기,7장 7절,노아 아들 아내 며느리 홍수 피하 방주 들어가다
창세기,7장 8절,정결 짐승 부정 짐승 기다 모든
창세기,7장 9절,하나님 노아 암수 노아 나다 주로 들어가다
창세기,7장 10절,홍수 덮이다
창세기,7장 11절,노아 육백 둘째 이렛날 크다 깊다 터지다 하늘 창문 열리다
창세기,7장 12절,사다 주야 쏟아지다
창세기,7장 13절,노아 아들 야벳 노아 아내 며느리 주로 들어가다
창세기,7장 14절,모든 들다 짐승 종류 모든 가축 종류 기다 모든 종류 모든 종류
창세기,7장 15절,무릇 생명 기운 육체 노아 나다 주로 들어가다
창세기,7장 16절,들어가다 모든 암수 하나님 들어가다 여호와 들이다 보내다 닫다
창세기,7장 17절,홍수 사다 계속 물이 많아지다 주가 떠오르다
창세기,7장 18절,물이 많아지다 넘치다 주가 뜨다 다니다
창세기,7장 19절,물이 더욱 넘치다 천하 높다 산이 잠기다
창세기,7장 20절,물이 불어 십오 규빗 산들 잠기다
창세기,7장 21절,움직이다 생물 죽다 가축 들다 짐승 기다 모든 모든
창세기,7장 22절,육지 생명 기운 죽다
창세기,7장 23절,지면 모든 생물 쓸다 버리다 사람과 가축 기다 공중 새다 지라 쓸다 버리다 당하다 노아 방주 남다
창세기,7장 24절,물이 백오십 넘치다
창세기,8장 1절,홍수 그치다 하나님 노아 방주 모든 들다 짐승 가축 기억 하사 하나님 바람 물이 줄어들다
창세기,8장 2절,깊다 하늘 창문 닫히다 하늘 치매
창세기,8장 3절,물이 물르다 물르다 백오십 줄어들다
창세기,8장 4절,이렛날 주가 아라랏 머무르다
창세기,8장 5절,물이 줄어들다 룻날 산들 봉우리 보이다
창세기,8장 6절,사다 지나다 노아 방주 내다 창문 열다
창세기,8장 7절,까마귀 내놓다 까마귀 물이 마르다 왕래
창세기,8장 8절,비둘기 내놓다 지면 물이 줄어들다 알다
창세기,8장 9절,지면 물이 비둘기 붙이다 찾다 주로 돌아오다 오다 내미다 방주 받아들이다
창세기,8장 10절,기다리다 비둘기 방주 내놓다
창세기,8장 11절,저녁때 비둘기 돌아오다 감람나무 잎사귀 노아 물이 줄어들다 알다
창세기,8장 12절,기다리다 비둘기 내놓다 다시다 돌아오다
창세기,8장 13절,육백일 첫째 룻날 물이 걷히다 노아 방주 뚜껑 지면 물이 걷히다
창세기,8장 14절,둘째 이렛날 마르다
창세기,8장 15절,하나님 노아 말씀
창세기,8장 16절,아내 아들 며느리 방주 나오다
창세기,8장 17절,모든 혈육 생물 가축 기다 모든 이끌다 생육 번성 하리
창세기,8장 18절,노아 아들 아내 며느리 나오다
창세기,8장 19절,동물 모든 짐승 모든 기다 모든 새다 종류 방주 나오다
창세기,8장 20절,노아 번제 드리다 노아 여호와 제단 쌓다 모든 정결 짐승 모든 정결 제물 취하 제로 제단 드리다
창세기,8장 21절,여호와 향기 받다 중심 다시다 저주 마음 계획 어리다 악하다 모든 생물 멸하
창세기,8장 22절,심음 거두다 추위 더위 여름 겨울
창세기,9장 1절,하나님 노아 언약 세우다 하나님 노아 아들 주시 생육 번성 충만
창세기,9장 2절,모든 짐승 공중 모든 기다 모든 바다 모든 물고기 두렵다 무섭다 붙이다
창세기,9장 3절,모든 동물 먹다 채소 주노
창세기,9장 4절,고기 생명 먹다
창세기,9장 5절,생명 찾다 짐승 이면 짐승 형제 생명 찾다
창세기,9장 6절,흘리다 흘리다 하나님 형상 지다
창세기,9장 7절,생육 번성 가득하다 번성
창세기,9장 8절,하나님 노아 아들 말씀
창세기,9장 9절,언약 후손
창세기,9장 10절,모든 생물 가축 모든 생물 세우다 방주 나오다 모든 모든 짐승
창세기,9장 11절,언약 세우다 다시다 모든 생물 홍수 멸하 멸할 홍수
창세기,9장 12절,하나님 나오다 모든 생물 사이 대대로 영원하다 세우다 언약 증거
창세기,9장 13절,무지개 구름 두다 나오다 세상 사이 언약 증거
창세기,9장 14절,구름 덮다 무지개 구름 나타나다
창세기,9장 15절,나오다 육체 가지다 모든 생물 사이 언약 하리 다시다 물이 모든 육체 멸하 홍수
창세기,9장 16절,무지개 구름 사이 하나님 모든 육체 가지다 모든 생물 사이 영원하다 언약 하리
창세기,9장 17절,하나님 노아 나오다 모든 생물 사이 세운 언약 증거
창세기,9장 18절,노아 아들 방주 나오다 노아 아들 야벳 가나안 아버지
창세기,9장 19절,노아 아들 퍼지다
창세기,9장 20절,노아 농사 시작 포도나무 심다
창세기,9장 21절,포도주 말다 취하 장막 벌겋다 벗다
창세기,9장 22절,가나안 아버지 아버지 하체 나가다 형제 알리다
창세기,9장 23절,야벳 가다 어깨 메다 뒷걸음 치다 들어가다 아버지 하체 덮다 얼굴 돌이키다 아버지 하체 보지
창세기,9장 24절,노아 깨다 작다 아들
창세기,9장 25절,가나안 저주 받다 형제 종이 기르다 원하다
창세기,9장 26절,하나님 여호와 찬송 하리 가나안 종이
창세기,9장 27절,하나님 야벳 대하 하사 장막 가나안 종이 기르다 원하다
창세기,9장 28절,홍수 노아 삼백오십 살다
창세기,9장 29절,나이 구백오십 되어다 죽다
창세기,10장 1절,노아 아들 족보 대상 노아 아들 야벳 족보 이러하다 홍수 아들 낳다
창세기,10장 2절,야벳 아들 고멜 마곡 마대 야완 두발 메섹 라스
창세기,10장 3절,고멜 아들 아스 나스 밧다 갈다
창세기,10장 4절,야완 아들 엘리사 시스 깃딤 다니다
창세기,10장 5절,여러 나라 백성 나뉘다 각기 언어 종족 나라 바닷가 머무르다
창세기,10장 6절,아들 구스 미스 라임 가나안
창세기,10장 7절,구스 아들 스바 하윌라 사다 삽드가 아들 스바 드단
창세기,10장 8절,구스 니므롯 낳다 세상 사라
창세기,10장 9절,여호와 용감하다 사냥꾼 되어다 속담 기르다 아물다 여호와 니므롯 용감하다 사냥꾼
창세기,10장 10절,나라 바벨 에렉 악갓 갈레 시작 되어다
창세기,10장 11절,수르 나아가다 니느웨 르호보딜 갈라
창세기,10장 12절,니느웨 갈라 사이 레센 건설 크다
창세기,10장 13절,미스 라임 루딤 아나밈 하비다
창세기,10장 14절,드루 가슬루힘 도림 낳다 가슬루힘 블레셋 나오다
창세기,10장 15절,가나안 장자 시돈 낳다
창세기,10장 16절,부스 족속 아모리 족속 기르다 가스 족속
창세기,10장 17절,족속 족속 족속
창세기,10장 18절,아르 족속 스말 족속 족속 낳다 가나안 자손 족속 흩어지다 나아가다
창세기,10장 19절,가나안 경계 시돈 지나 가사 소돔 고모라 아드마 스보임 지나 라사
창세기,10장 20절,자손 각기 족속 언어 지방 나라
창세기,10장 21절,자손 상이 야벳 자녀 출생
창세기,10장 22절,아들 엘람 수르 아르박삿 아람
창세기,10장 23절,아람 아들 우스 게델 마스
창세기,10장 24절,아르박삿 셀라 낳다 셀라 낳다
창세기,10장 25절,아들 낳다 이름 세상 나뉘다 이요 아우 이름 욕단
창세기,10장 26절,욕단 셀렙 살다 오다
창세기,10장 27절,디글 오다
창세기,10장 28절,오발 아비 스바
창세기,10장 29절,오빌 하윌라 낳다 욕단 아들
창세기,10장 30절,거주 메사 스발 가다 동쪽 사다
창세기,10장 31절,자손 족속 언어 지방 나라
창세기,10장 32절,백성 족보 따르다 노아 자손 족속 들이다 홍수 백성 나뉘다
창세기,11장 1절,바벨 언어 하나요
창세기,11장 2절,동방 옮기다 평지 만나다 거기 거류
창세기,11장 3절,서로 말다 벽돌 만들다 견고하다 굽다 벽돌 대신 역청 진흙 대신
창세기,11장 4절,말다 건설 꼭대기 하늘 닿다 이름 내다 지면 흩어지다
창세기,11장 5절,여호와 건설 내려오다
창세기,11장 6절,여호와 무리 족속 언어 시작
창세기,11장 7절,내려가다 거기 언어 혼잡하다 서로 알아듣다 하자
창세기,11장 8절,여호와 거기 지면 흩다 도시 건설 그치다
창세기,11장 9절,이름 바벨 하니 여호와 거기 언어 혼잡하다 여호와 거기 지면 흩다
창세기,11장 10절,족보 대상 족보 이러하다 홍수 아르박삿 낳다
창세기,11장 11절,아르박삿 낳다 오백 지내다 자녀 낳다
창세기,11장 12절,아르박삿 삼십오 셀라 낳다
창세기,11장 13절,셀라 낳다 사백삼 지내다 자녀 낳다
창세기,11장 14절,셀라 삼십 낳다
창세기,11장 15절,낳다 사백삼 지내다 자녀 낳다
창세기,11장 16절,삼십사 낳다
창세기,11장 17절,낳다 사백삼십 지내다 자녀 낳다
창세기,11장 18절,삼십 르우 낳다
창세기,11장 19절,르우 낳다 이백구 지내다 자녀 낳다
창세기,11장 20절,르우 삼십이 스룩 낳다
창세기,11장 21절,스룩 낳다 이백칠 지내다 자녀 낳다
창세기,11장 22절,스룩 삼십 나홀 낳다
창세기,11장 23절,나홀 낳다 이백 지내다 자녀 낳다
창세기,11장 24절,나홀 이십구 낳다
창세기,11장 25절,낳다 백십구 지내다 자녀 낳다
창세기,11장 26절,칠십 아브람 나홀 하란 낳다
창세기,11장 27절,족보 족보 이러하다 아브람 나홀 하란 낳다 하란 낳다
창세기,11장 28절,하란 아비 라보 먼저 고향 갈대 아인 우르 죽다
창세기,11장 29절,아브람 나홀 장가 들다 아브람 아내 이름 사래 나홀 아내 이름 밀다 하란 따다 하란 밀다 아버지 이스 가의 아버지
창세기,11장 30절,사래 임신 하므다 자식
창세기,11장 31절,라가 아들 아브람 하란 아들 손자 며느리 아브람 아내 사래 데리 갈대 아인 떠나다 가나안 가다 하란 거기 거류
창세기,11장 32절,나이 이백오 되어다 하란 죽다
창세기,12장 1절,여호와 아브람 여호와 아브람 고향 친척 아버지 떠나다 보이다 가라
창세기,12장 2절,크다 민족 이루다 주어 이름 대하 하리
창세기,12장 3절,축복 내리다 저주 하리 모든 족속 얻다
창세기,12장 4절,아브람 여호와 말씀 따라가다 가다 아브람 하란 떠나다 칠십오 세다
창세기,12장 5절,아브람 아내 사래 조카 하란 모으다 모든 소유 얻다 이끌다 가나안 가다 떠나다 마침내 가나안 들어가다
창세기,12장 6절,아브람 지나 모레 상수리나무 가나안 거주
창세기,12장 7절,여호와 아브람 나타나다 자손 주리 나타나다 여호와 제단 쌓다
창세기,12장 8절,거기 동쪽 옮기다 장막 치다 서쪽 벧엘이 동쪽 여호와 제단 쌓다 여호와 이름 부르다
창세기,12장 9절,남방 옮기다 가다
창세기,12장 10절,아브람 애굽 내려가다 기근 들다 아브람 애굽 거류 내려가다 기근 심하다
창세기,12장 11절,애굽 가까이 이르렀 아내 사래 말다 알다 그대 아리땁다 여인
창세기,12장 12절,애굽 그대 기르다 아내 그대 살리다
창세기,12장 13절,원하다 그대 하라 안전하다 목숨 보존 하니
창세기,12장 14절,아브람 애굽 이르렀 애굽 여인 심하다 아리따움
창세기,12장 15절,고관 칭찬 하므다 여인 이끌다 들이다
창세기,12장 16절,그로 아브람 후대 하므다 아브람 노비 암수 나귀 낙타 얻다
창세기,12장 17절,여호와 아브람 아내 사래 일로 크다 재앙 내리다 신지
창세기,12장 18절,아브람 불다 아내 내다
창세기,12장 19절,데리다 아내 삼다 아내 데려가다
창세기,12장 20절,아내 모든 소유 보내다
창세기,13장 1절,아브람 서로 떠나다 아브람 애굽 아내 모든 소유 게브 올라가다
창세기,13장 2절,아브람 가축 풍부하다
창세기,13장 3절,게브 떠나다 벧엘 벧엘 사이 장막 치다
창세기,13장 4절,처음 제단 쌓다 거기 여호와 이름 부르다
창세기,13장 5절,아브람 일행 장막
창세기,13장 6절,동거 넉넉하다 소유 많다 동거
창세기,13장 7절,아브람 가축 목자 가축 목자 서로 다투다 가나안 사람과 리스 거주
창세기,13장 8절,아브람 친족 나나 목자 목자 서로 다투다
창세기,13장 9절,나르다 떠나가다 좋다
창세기,13장 10절,들다 지역 바라보다 물이 넉넉하다 여호와 소돔 고모라 여호와 동산 애굽
창세기,13장 11절,지역 옮기다 서로 떠나다
창세기,13장 12절,아브람 가나안 거주 지역 도시 머무르다 장막 옮기다 소돔 이르렀더
창세기,13장 13절,소돔 여호와 악하다 크다 죄인
창세기,13장 14절,아브람 헤브론 옮기다 아브람 떠나다 여호와 아브람 들다 북쪽 남쪽 동쪽 서쪽 바라보다
창세기,13장 15절,보이다 자손 주리다 영원하다
창세기,13장 16절,자손 티끌 하리 티끌 자손 세리
창세기,13장 17절,일어나다 두루 다니다 보라 주리
창세기,13장 18절,아브람 장막 옮기다 헤브론 마므레 상수리 수풀 거주 거기 여호와 제단 쌓다
창세기,14장 1절,아브람 당시 아므라벨 엘라 아리 엘람 메다 달이
창세기,14장 2절,소돔 오다 고모라 비르 사오다 아드마 보임 메벨 벨라 싸우다
창세기,14장 3절,싯딤 골짜기 모이다
창세기,14장 4절,십이 메다 섬기다 배반 지라
창세기,14장 5절,메다 나오다 아스 드롯 가르다 르바 족속 수스 족속 사웨 기다 다임 족속
창세기,14장 6절,호리 족속 치다 광야 근방 바란 이르렀으
창세기,14장 7절,돌이키다 미스 밧다 가다 데스 아말렉 족속 하사 다말 살다 아모리 족속 친지
창세기,14장 8절,소돔 고모라 아드마 보임 벨라 나오다 싯딤 골짜기 전쟁 치다
창세기,14장 9절,엘람 메다 디달 아므라벨 엘라 아리 맞서다
창세기,14장 10절,싯딤 골짜기 역청 구덩이 많다 소돔 고모라 달아나다 거기 빠지다 나머지 도망
창세기,14장 11절,소돔 고모라 모든 재물 양식 빼앗다 가다
창세기,14장 12절,소돔 거주 아브람 조카 사로자다 재물 노략 가다
창세기,14장 13절,도망 자가 오다 브리 아브람 알리다 아브람 아모리 족속 마므레 상수리 수풀 근처 거주 마므레 에스 형제 형제 아브람 동맹 들이다
창세기,14장 14절,아브람 조카 사로잡히다 듣다 길리 훈련 삼백십팔 느리다 쫓아가다
창세기,14장 15절,가신 나뉘다 치다 부수 다메섹 호바 쫓아가다
창세기,14장 16절,모든 빼앗기다 재물 조카 재물 부녀 친척 찾아오다
창세기,14장 17절,멜기세덱 아브람 축복 아브람 메다 치다 부수 돌아오다 소돔 사웨 골짜기 골짜기 나오다 영접
창세기,14장 18절,살렘 멜기세덱 포도주 가지 나오다 높다 하나님 제사장
창세기,14장 19절,아브람 축복 천지 주다 높다 하나님 아브람 소서
창세기,14장 20절,대적 붙이다 높다 하나님 찬송 아브람 얻다 십분 멜기세덱 주다
창세기,14장 21절,소돔 아브람 내다 보내다 물품 가지
창세기,14장 22절,아브람 소돔 천지 주다 높다 하나님 여호와 들다 맹세
창세기,14장 23절,아브람 치부 오라기 들메 가닥 가지
창세기,14장 24절,젊은이 먹다 나오다 동행 에스 마므레 분깃 분깃 가지다
창세기,15장 1절,여호와 아브람 언약 세우다 여호와 말씀 환상 아브람 아브람 두렵다 말르다 방패 크다 상급
창세기,15장 2절,아브람 여호와 내다 주다 나이까 자식 사오다 상속 다메섹 엘리 세다
창세기,15장 3절,아브람 내다 주지 길린 자가 상속
창세기,15장 4절,여호와 말씀 상속 자가 상속
창세기,15장 5절,이끌다 나가다 하늘 우러러 보라 자손
창세기,15장 6절,아브람 여호와 믿다 여호와 여기다
창세기,15장 7절,주어 소유 삼다 갈대 아인 우르 이끌다 내다 여호와
창세기,15장 8절,여호와 소유 받다 알리다
창세기,15장 9절,여호와 나르다 암소 염소 숫양 산비둘기 집비둘기 새끼 가져오다
창세기,15장 10절,아브람 모든 가다 중간 쪼개다 쪼개다 마주 대하 놓다 새다 쪼개지다
창세기,15장 11절,솔개 사체 내리다 아브람 쫓다
창세기,15장 12절,아브람 깊다 크다 흑암 두려움
